legacy_ref,decision,runtime_asset_id,reason,xml_reference_count
koshachiy-dom-zvuk-murlykaniya-koshki-ochen-rasslablyaet.wav,discard,,"Third-party ambient cat-purr audio, not Jarvis persona output.",1
Всегда к вашим услугам сэр.wav,migrate_now,ru/system/always_at_service_sir,Integrated into the voice asset manifest and routing rules.,5
Вы создали новый элемент.wav,adapt_later,,Useful only after adding context-aware file-manager creation feedback.,2
Да сэр(второй).wav,migrate_now,ru/system/yes_sir_alt,Integrated into the voice asset manifest and routing rules.,8
Да сэр.wav,migrate_now,ru/system/yes_sir,Integrated into the voice asset manifest and routing rules.,15
Джарвис - приветствие.wav,migrate_now,ru/assistant/welcome_back,Integrated into the voice asset manifest and routing rules.,1
Доброе утро.wav,migrate_now,ru/assistant/good_morning,Integrated into the voice asset manifest and routing rules.,1
Есть.wav,migrate_now,ru/system/affirmative,Integrated into the voice asset manifest and routing rules.,17
Загружаю сэр.wav,migrate_now,ru/assistant/loading_sir,Integrated into the voice asset manifest and routing rules.,14
Запрос выполнен сэр.wav,migrate_now,ru/assistant/request_completed_sir,Integrated into the voice asset manifest and routing rules.,9
"Заряд батареи, %\wooow.wav",archive_only,,Heavily reused in legacy macros but semantically vague compared with the cleaner loading confirmations now wired.,67
"Заряд батареи, %\монетка.wav",adapt_later,,Only makes sense once a deterministic coin-flip feature is implemented.,1
К вашим услугам сэр.wav,migrate_now,ru/assistant/at_your_service_sir,Integrated into the voice asset manifest and routing rules.,5
Как пожелаете.wav,archive_only,,Persona-consistent but redundant with stronger acknowledgement assets already integrated.,1
Начинаю диагностику системы.wav,migrate_now,ru/assistant/running_diagnostics,Integrated into the voice asset manifest and routing rules.,1
Новый голос\Активировать голосовое управление в игре_mixdown.wav,migrate_now,ru/scenarios/game_voice_control_activated,Integrated into the voice asset manifest and routing rules.,1
Новый голос\Гора эверестwav.wav,adapt_later,,Long-form knowledge response; keep for a future story/knowledge mode.,1
Новый голос\Приятного прослушивания сэр.wav,migrate_now,ru/media/pleasant_listening_sir,Integrated into the voice asset manifest and routing rules.,1
Новый голос\Сказкаwav.wav,adapt_later,,Long-form storytelling response; keep for a future story mode.,1
Новый голос\есть ли жизнь.wav,adapt_later,,Long-form knowledge response; keep for a future story/knowledge mode.,1
Новый голос\проверка интернета.wav,migrate_now,ru/diagnostics/internet_check,Integrated into the voice asset manifest and routing rules.,1
Новый голос\что ты знаешь о космосе.wav,adapt_later,,Long-form knowledge response; keep for a future story/knowledge mode.,1
Сохранить его в центральной базе данных Stark Industries.wav,archive_only,,Novelty response; too long and too specific for current system feedback routing.,1
Я отдыхать.wav,migrate_now,ru/system/rest_mode,Integrated into the voice asset manifest and routing rules.,1
либилердууу.wav,archive_only,,"Joke/novelty clip with unclear semantic value, not stable system feedback.",1
привет я джарвис.wav,migrate_now,ru/assistant/hello_i_am_jarvis,Integrated into the voice asset manifest and routing rules.,2
что нового.wav,migrate_now,ru/assistant/news_update,Integrated into the voice asset manifest and routing rules.,1
